route_id,route_short_name,gtfs_from,gtfs_to,matched_key,ctb_origin_tc,ctb_destination_tc,orientation,sim_from,sim_to,avg,reason
8484,12A,金鐘(添馬街),麥當勞道(循環線)(不經中環),CTB-12A-O,金鐘 (添馬街),麥當勞道,forward,1.000,0.364,0.682,
1000307,42,華富(南),北角碼頭(經黃竹坑道天橋),CTB-42-I,北角碼頭,華富 (南),swapped,1.000,0.364,0.682,
1000406,20A,高鐵西九龍站,啟德郵輪碼頭(經沐安街),CTB-20A-I,高鐵西九龍站 (經:旺角),啟德郵輪碼頭 (經:旺角),forward,0.667,0.700,0.683,
1663,969X,天水圍市中心,銅鑼灣(禮頓中心),CTB-969X-O,天水圍市中心,銅鑼灣 (經天水圍南),forward,1.000,0.375,0.688,
8653,99,海怡半島,筲箕灣(不經海怡路),CTB-99-I,筲箕灣,海怡半島,swapped,1.000,0.375,0.688,
8684,40M,華富(北),會展站(不經遮打道),CTB-40M-O,華富 (北),會展站,forward,1.000,0.375,0.688,
1000053,967X,銅鑼灣(摩頓台),天水圍(天恩邨),CTB-967X-I,銅鑼灣 (經天水圍北),天水圍 (天恩邨),forward,0.375,1.000,0.688,
1508,12M,金鐘(添馬街),柏道(循環線),CTB-12M-O,金鐘 (添馬街),柏道,forward,1.000,0.400,0.700,
1897,930A,荃灣西站/荃灣(愉景新城),會展站,CTB-930A-I,會展站,荃灣西站,swapped,0.400,1.000,0.700,
8360,930,會展站,荃灣西站,CTB-930-I,會展站,荃灣 (愉景新城／荃灣西站),forward,1.000,0.400,0.700,
8667,930,荃灣西站,會展站,CTB-930-I,會展站,荃灣 (愉景新城／荃灣西站),swapped,0.400,1.000,0.700,
8687,962C,屯門(三聖),太古(康怡廣場),CTB-962C-I,太古 (康怡廣場),屯門 (龍門居),swapped,0.400,1.000,0.700,
8691,701A,海盈邨,旺角(循環線),CTB-701A-I,旺角,海盈邨,swapped,1.000,0.400,0.700,
1000061,969,天水圍市中心,銅鑼灣(摩頓台)(不經美湖居及景湖居),CTB-969-I,銅鑼灣 (摩頓台),天水圍市中心,swapped,1.000,0.400,0.700,
1000198,78X,粉嶺皇后山,啟德,CTB-78X-O,粉嶺皇后山,啟德 (經: 觀塘),forward,1.000,0.400,0.700,
1000402,78C,粉嶺皇后山,啟德,CTB-78C-I,啟德 (經: 觀塘),粉嶺皇后山,swapped,1.000,0.400,0.700,
1000397,788,小西灣(藍灣半島),中環(港澳碼頭)(不停富景花園，經金鐘),CTB-788-I,中環 (港澳碼頭),小西灣 (藍灣半島),swapped,1.000,0.400,0.700,
1000648,55,屯門 (菁田及和田),觀塘碼頭(經觀塘道班次),CTB-55-I,觀塘碼頭,屯門 (菁田及和田),swapped,1.000,0.400,0.700,
1000608,H3,中環 (香港摩天輪),赤柱村 / 赤柱市集,CTB-H3-O,中環碼頭 -香港摩天輪,赤柱村／赤柱市集  ．落日飛車,forward,0.778,0.636,0.707,
1507,12A,金鐘(添馬街),麥當奴道(循環線),CTB-12A-O,金鐘 (添馬街),麥當勞道,forward,1.000,0.429,0.714,
1553,85P,小西灣 (富欣花園),寶馬山,CTB-85P-I,寶馬山,小西灣 (藍灣半島),swapped,0.429,1.000,0.714,
1556,595,海怡半島,石排灣 (循環線),CTB-595-I,石排灣 (經香港仔),海怡半島,swapped,1.000,0.429,0.714,
1956,70P,石排灣,中環(交易廣場),CTB-70P-I,中環 (交易廣場),石排灣 (經:香港仔),swapped,0.429,1.000,0.714,
8279,E11A,天后站,航天城,CTB-E11A-I,航天城 (經東涌北),天后站,swapped,1.000,0.429,0.714,
8447,11,中環碼頭,渣甸山(深夜班次),CTB-11-I,渣甸山,中環碼頭,swapped,1.000,0.429,0.714,
8785,608,馬頭圍邨,筲箕灣(經啟福道),CTB-608-I,筲箕灣,馬頭圍邨,swapped,1.000,0.429,0.714,
